|2015-07-14 12:26:04.059000__Averages_testing|dfsio|24-21333|job|runtime|124
|2015-07-14 12:26:04.059000__Averages_testing|dfsio|24-21333|r3s1xd1.rcbd.lab|cpu_user_rate|0.571180555555
|2015-07-14 12:26:04.059000__Averages_testing|dfsio|24-21333|r3s1xd10.rcbd.lab|cpu_user_rate|0.683333333333
|2015-07-14 12:26:04.059000__Averages_testing|dfsio|24-21333|r3s1xd11.rcbd.lab|cpu_user_rate|0.386458333333
|2015-07-14 12:26:04.059000__Averages_testing|dfsio|24-21333|r3s1xd12.rcbd.lab|cpu_user_rate|0.466666666666
|2015-07-14 12:26:04.059000__Averages_testing|dfsio|24-21333|r3s1xd2.rcbd.lab|cpu_user_rate|0.571180555556
|2015-07-14 12:26:04.059000__Averages_testing|dfsio|24-21333|r3s1xd3.rcbd.lab|cpu_user_rate|0.543055555555
|2015-07-14 12:26:04.059000__Averages_testing|dfsio|24-21333|r3s1xd4.rcbd.lab|cpu_user_rate|0.460069444444
|2015-07-14 12:26:04.059000__Averages_testing|dfsio|24-21333|r3s1xd5.rcbd.lab|cpu_user_rate|0.579513888889
|2015-07-14 12:26:04.059000__Averages_testing|dfsio|24-21333|r3s1xd6.rcbd.lab|cpu_user_rate|0.58576388889
|2015-07-14 12:26:04.059000__Averages_testing|dfsio|24-21333|r3s1xd7.rcbd.lab|cpu_user_rate|0.575
|2015-07-14 12:26:04.059000__Averages_testing|dfsio|24-21333|r3s1xd8.rcbd.lab|cpu_user_rate|0.571180555556
|2015-07-14 12:26:04.059000__Averages_testing|dfsio|24-21333|r3s1xd9.rcbd.lab|cpu_user_rate|0.569791666667
|2015-07-14 12:26:04.059000__Averages_testing|dfsio|24-21333|r3s1xd1.rcbd.lab|physical_memory_used|7168380928.0
|2015-07-14 12:26:04.059000__Averages_testing|dfsio|24-21333|r3s1xd10.rcbd.lab|physical_memory_used|7156285440.0
|2015-07-14 12:26:04.059000__Averages_testing|dfsio|24-21333|r3s1xd11.rcbd.lab|physical_memory_used|7053008896.0
|2015-07-14 12:26:04.059000__Averages_testing|dfsio|24-21333|r3s1xd12.rcbd.lab|physical_memory_used|8869855232.0
|2015-07-14 12:26:04.059000__Averages_testing|dfsio|24-21333|r3s1xd2.rcbd.lab|physical_memory_used|7164149760.0
|2015-07-14 12:26:04.059000__Averages_testing|dfsio|24-21333|r3s1xd3.rcbd.lab|physical_memory_used|7249952768.0
|2015-07-14 12:26:04.059000__Averages_testing|dfsio|24-21333|r3s1xd4.rcbd.lab|physical_memory_used|7174270976.0
|2015-07-14 12:26:04.059000__Averages_testing|dfsio|24-21333|r3s1xd5.rcbd.lab|physical_memory_used|7214256128.0
|2015-07-14 12:26:04.059000__Averages_testing|dfsio|24-21333|r3s1xd6.rcbd.lab|physical_memory_used|7373119488.0
|2015-07-14 12:26:04.059000__Averages_testing|dfsio|24-21333|r3s1xd7.rcbd.lab|physical_memory_used|7121141760.0
|2015-07-14 12:26:04.059000__Averages_testing|dfsio|24-21333|r3s1xd8.rcbd.lab|physical_memory_used|7202095104.0
|2015-07-14 12:26:04.059000__Averages_testing|dfsio|24-21333|r3s1xd9.rcbd.lab|physical_memory_used|7186612224.0
|2015-07-14 12:26:04.059000__Averages_testing|dfsio|24-21333|r3s1xd1.rcbd.lab|total_read_bytes_rate_across_disks|152709188.267
|2015-07-14 12:26:04.059000__Averages_testing|dfsio|24-21333|r3s1xd10.rcbd.lab|total_read_bytes_rate_across_disks|181395524.267
|2015-07-14 12:26:04.059000__Averages_testing|dfsio|24-21333|r3s1xd11.rcbd.lab|total_read_bytes_rate_across_disks|277932441.6
|2015-07-14 12:26:04.059000__Averages_testing|dfsio|24-21333|r3s1xd12.rcbd.lab|total_read_bytes_rate_across_disks|108699238.4
|2015-07-14 12:26:04.059000__Averages_testing|dfsio|24-21333|r3s1xd2.rcbd.lab|total_read_bytes_rate_across_disks|209915016.533
|2015-07-14 12:26:04.059000__Averages_testing|dfsio|24-21333|r3s1xd3.rcbd.lab|total_read_bytes_rate_across_disks|305367040.0
|2015-07-14 12:26:04.059000__Averages_testing|dfsio|24-21333|r3s1xd4.rcbd.lab|total_read_bytes_rate_across_disks|133730167.467
|2015-07-14 12:26:04.059000__Averages_testing|dfsio|24-21333|r3s1xd5.rcbd.lab|total_read_bytes_rate_across_disks|190245273.6
|2015-07-14 12:26:04.059000__Averages_testing|dfsio|24-21333|r3s1xd6.rcbd.lab|total_read_bytes_rate_across_disks|190339481.6
|2015-07-14 12:26:04.059000__Averages_testing|dfsio|24-21333|r3s1xd7.rcbd.lab|total_read_bytes_rate_across_disks|200276650.667
|2015-07-14 12:26:04.059000__Averages_testing|dfsio|24-21333|r3s1xd8.rcbd.lab|total_read_bytes_rate_across_disks|279646754.133
|2015-07-14 12:26:04.059000__Averages_testing|dfsio|24-21333|r3s1xd9.rcbd.lab|total_read_bytes_rate_across_disks|194233412.267
|2015-07-14 12:26:04.059000__Averages_testing|dfsio|24-21333|r3s1xd1.rcbd.lab|total_write_bytes_rate_across_disks|46145604.2667
|2015-07-14 12:26:04.059000__Averages_testing|dfsio|24-21333|r3s1xd10.rcbd.lab|total_write_bytes_rate_across_disks|47132194.1333
|2015-07-14 12:26:04.059000__Averages_testing|dfsio|24-21333|r3s1xd11.rcbd.lab|total_write_bytes_rate_across_disks|107520.0
|2015-07-14 12:26:04.059000__Averages_testing|dfsio|24-21333|r3s1xd12.rcbd.lab|total_write_bytes_rate_across_disks|127067613.867
|2015-07-14 12:26:04.059000__Averages_testing|dfsio|24-21333|r3s1xd2.rcbd.lab|total_write_bytes_rate_across_disks|46303778.1333
|2015-07-14 12:26:04.059000__Averages_testing|dfsio|24-21333|r3s1xd3.rcbd.lab|total_write_bytes_rate_across_disks|41737011.2
|2015-07-14 12:26:04.059000__Averages_testing|dfsio|24-21333|r3s1xd4.rcbd.lab|total_write_bytes_rate_across_disks|41899281.0667
|2015-07-14 12:26:04.059000__Averages_testing|dfsio|24-21333|r3s1xd5.rcbd.lab|total_write_bytes_rate_across_disks|76029610.6667
|2015-07-14 12:26:04.059000__Averages_testing|dfsio|24-21333|r3s1xd6.rcbd.lab|total_write_bytes_rate_across_disks|27058585.6
|2015-07-14 12:26:04.059000__Averages_testing|dfsio|24-21333|r3s1xd7.rcbd.lab|total_write_bytes_rate_across_disks|40119364.2667
|2015-07-14 12:26:04.059000__Averages_testing|dfsio|24-21333|r3s1xd8.rcbd.lab|total_write_bytes_rate_across_disks|13083306.6667
|2015-07-14 12:26:04.059000__Averages_testing|dfsio|24-21333|r3s1xd9.rcbd.lab|total_write_bytes_rate_across_disks|43554406.4
